label,epoch,train_loss,train_acc,val_loss,val_acc
lr_001,1,4.263566998926798,0.05351111111111111,4.087527534675598,0.0728
lr_001,2,4.029687601470947,0.07957777777777778,3.925428991317749,0.084
lr_001,3,3.8328695542759363,0.1068,3.709222777080536,0.131
lr_001,4,3.6698693698565164,0.13353333333333334,3.622967037296295,0.1422
lr_001,5,3.5582908015992905,0.15082222222222222,3.5757948756217957,0.1514
lr_001,6,3.506357572831048,0.1598,3.473056444644928,0.1602
lr_001,7,3.467940619415707,0.16275555555555554,3.438042594528198,0.1654
lr_001,8,3.4351844096395703,0.17146666666666666,3.4144304611206056,0.1768
lr_001,9,3.398181300550037,0.17633333333333334,3.3553877333641053,0.1816
lr_001,10,3.372879465887282,0.1812,3.362525777244568,0.1804
lr_001,11,3.2297536751058367,0.2117111111111111,3.2197157578468323,0.2126
lr_001,12,3.1980024460527634,0.21644444444444444,3.2104658670425414,0.215
lr_001,13,3.1862062957180872,0.21866666666666668,3.1946528626441957,0.2204
lr_001,14,3.1742886979791853,0.21993333333333334,3.219983051776886,0.2162
lr_001,15,3.16110019753774,0.22344444444444445,3.1917407459259035,0.221
lr_001,16,3.1504867839336397,0.2233111111111111,3.1881199692726137,0.2264
lr_001,17,3.138909309387207,0.2273777777777778,3.1629841123580933,0.2314
lr_001,18,3.1302164078738954,0.22853333333333334,3.168375787162781,0.2268
lr_001,19,3.1246905314445494,0.23035555555555556,3.157353402900696,0.2302
lr_001,20,3.1081505906793807,0.2336,3.148870691585541,0.2336
lr_0005,1,4.433192134941949,0.03404444444444445,4.26874879283905,0.048
lr_0005,2,4.182129040993584,0.05773333333333333,4.038925794792175,0.0732
lr_0005,3,3.954660769833459,0.0896,3.904710281562805,0.1006
lr_0005,4,3.795216850757599,0.11077777777777778,3.656866433906555,0.1338
lr_0005,5,3.6363811850653756,0.1376,3.5235305315971375,0.162
lr_0005,6,3.533220507589976,0.15322222222222223,3.447889329433441,0.1594
lr_0005,7,3.44719686138365,0.16782222222222223,3.381829953479767,0.1742
lr_0005,8,3.3780504956245423,0.17988888888888888,3.2800226574897766,0.1916
lr_0005,9,3.3139952050156065,0.19164444444444445,3.260997148895264,0.2064
lr_0005,10,3.2597355114036137,0.20522222222222222,3.2576705575942992,0.1982
lr_0005,11,3.0927767847590975,0.23806666666666668,3.0603397159576415,0.2432
lr_0005,12,3.06021306942304,0.24464444444444444,3.0444662937164306,0.2478
lr_0005,13,3.043401795127657,0.24766666666666667,3.0202087655067444,0.2472
lr_0005,14,3.0264329832341934,0.25146666666666667,3.026017641878128,0.25
lr_0005,15,3.0114903606043923,0.2554666666666667,2.998906022119522,0.2538
lr_0005,16,2.995716059557597,0.2584666666666667,2.984353957557678,0.2608
lr_0005,17,2.9845991155253517,0.26108888888888887,2.9849730979919435,0.2536
lr_0005,18,2.9777089627477857,0.2594444444444444,2.9804434607982637,0.257
lr_0005,19,2.969214293660058,0.2618666666666667,2.9612417863845826,0.2672
lr_0005,20,2.9482837205727894,0.2667555555555556,2.9605009147167207,0.2596
lr_0001,1,4.195352494451734,0.06104444444444444,3.9688431175231935,0.0834
lr_0001,2,3.9598095279481678,0.0892,3.8478255615234374,0.1036
lr_0001,3,3.8448806399875215,0.10686666666666667,3.7486755600929262,0.1108
lr_0001,4,3.7474921076986525,0.12337777777777778,3.659971858882904,0.128
lr_0001,5,3.646584946653578,0.13882222222222224,3.4952144185066225,0.1568
lr_0001,6,3.5611330971505906,0.1521111111111111,3.44230643491745,0.1676
lr_0001,7,3.4854095549583435,0.16666666666666666,3.3664873886108397,0.178
lr_0001,8,3.4025056899441615,0.18155555555555555,3.285167441749573,0.1976
lr_0001,9,3.326512149137921,0.19375555555555554,3.2025104630470276,0.2128
lr_0001,10,3.2500700428697797,0.2066,3.1471848148822783,0.2248
lr_0001,11,3.0844874813450707,0.23937777777777777,3.027907928800583,0.2516
lr_0001,12,3.050381840324402,0.24906666666666666,2.998258229160309,0.2496
lr_0001,13,3.0273538881513806,0.25364444444444445,2.9912976633548736,0.2572
lr_0001,14,3.01610573114819,0.255,2.9829994507312776,0.2528
lr_0001,15,3.0001907197528417,0.25626666666666664,2.9605720066070558,0.2654
