epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,5.208652475568983,0.01131111111111111,4.89534734954834,0.0158,0.003328641132581508
2,5.200483755238851,0.010555555555555556,4.901604076385498,0.016,0.0035833810104982104
3,5.212211894056532,0.010755555555555556,4.897684368896484,0.0154,0.00380003666303825
4,5.205763003540039,0.011222222222222222,4.899679039001465,0.0152,0.003220342510785025
5,5.204566679975722,0.011577777777777777,4.894907418060303,0.0152,0.003153329789719421
6,5.206771361541748,0.011044444444444445,4.906070488739013,0.0154,0.0034031264254553166
7,5.207507258605957,0.0106,4.8957859298706055,0.0162,0.0037831187621090775
8,5.20701924879286,0.011244444444444444,4.899442981719971,0.0162,0.004187864489048379
9,5.202148472001817,0.011622222222222223,4.90471202468872,0.0154,0.0031181392008640973
10,5.203449914296468,0.011622222222222223,4.896960704040527,0.015,0.0032642296098602972
11,5.204342455291748,0.010222222222222223,4.900086799621582,0.0146,0.0033127512787115014
12,5.204625220913357,0.011222222222222222,4.898899617767334,0.0158,0.0032969246970028566
13,5.204106983947754,0.011266666666666666,4.901429991149902,0.0154,0.003314856749819088
14,5.210056305948894,0.01131111111111111,4.895813538360596,0.0158,0.003808766589114651
15,5.208264520602756,0.0112,4.8998955070495605,0.016,0.003212804742212547
16,5.203305208248563,0.010911111111111111,4.894533026123047,0.0152,0.0033988989897266826
17,5.206327902136908,0.010622222222222222,4.89515234375,0.015,0.003231978894476832
