epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,5.197455198245579,0.008688888888888888,4.892527015686035,0.0096,0.0031201926710066412
2,5.19026574935913,0.0101111111102634,4.897207228851318,0.009,0.003044793875919656
3,5.192085332573785,0.0102,4.897197476959229,0.0094,0.0029312131833885034
4,5.194081160142686,0.010311111111111111,4.896428792572022,0.0088,0.0031384557826139832
5,5.1918849240620935,0.009288888888041177,4.898899119567871,0.0096,0.002896532963290022
6,5.190667921447754,0.009533333333333333,4.894099001312256,0.0092,0.0028484171621601597
7,5.189062382507324,0.010088888887193469,4.895474697875977,0.009,0.002894301721956578
8,5.187701043192545,0.010199999999152288,4.8948057174682615,0.0094,0.0031872606810965233
9,5.191958523644342,0.009933333333333334,4.895248469543457,0.009,0.0030923755603723974
10,5.1860996049669055,0.0098,4.8980766204833985,0.0092,0.0029034911323233704
11,5.185140532260471,0.010644444442749024,4.89171060256958,0.009,0.00291914933789316
