epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,4.768365921783447,0.028622222222222223,4.0224373046875,0.153,0.12346598674950132
2,3.5347414687686496,0.19235555555555556,2.361709494018555,0.5082,0.48265129129876116
3,2.0637372054206002,0.484,1.3440393971443176,0.679,0.6670167162002433
4,1.419636929236518,0.6331555555555556,1.0683701842308044,0.7356,0.7275519971546862
5,1.1103338742785984,0.7095777777777778,0.9060292208194732,0.7646,0.7584091534511542
6,0.8818670779969957,0.7722444444444444,0.8233456216335296,0.784,0.7790057663099555
7,0.7124379804187351,0.8235111111111111,0.7884450924396514,0.7946,0.7891661712522567
8,0.5801284966256883,0.8619555555555556,0.7565556612491607,0.802,0.7972615536297373
9,0.473233143848843,0.8961111111111111,0.7504456073284149,0.8082,0.8042890312425729
10,0.40680742768181694,0.9157555555555555,0.765898900270462,0.8108,0.8066437673764801
11,0.3042069947242737,0.9480444444444445,0.7862490073680878,0.8106,0.8066385979917148
12,0.23586043265130785,0.9716,0.787359113073349,0.8128,0.8092022122924102
13,0.18725872657563952,0.9867555555555556,0.7977250715732574,0.8138,0.8097848259980441
14,0.1794401939974891,0.9885777777777778,0.8363945027828217,0.8082,0.8043794558639441
15,0.16186114880243938,0.9926444444444444,0.8549995166778565,0.8078,0.8029042455098648
16,0.1495676463868883,0.9959333333333333,0.8549177837371826,0.8112,0.806796764751534
17,0.1422705455462138,0.9972666666666666,0.8637941477298736,0.8092,0.8048079289895171
18,0.1370351860364278,0.9979333333333333,0.894418718624115,0.8032,0.7987352828956102
19,0.13266659038331774,0.9986888888888888,0.8882091957092285,0.8086,0.8040663038515042
20,0.12980695081551868,0.9988,0.8989824251174927,0.8036,0.7991875086917125
21,0.12716919032202825,0.9991333333333333,0.8932814311981201,0.8064,0.8030883037227597
22,0.12496989643308852,0.9994,0.9025181843757629,0.8048,0.8001224317593837
23,0.12323401731914944,0.9994444444444445,0.9096367809295655,0.7974,0.7927739413193161
