epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,4.842200497860379,0.021244444441901312,4.171391258239746,0.1162,0.0952703191824538
2,3.7287389623006186,0.16082222221544054,2.58007071685791,0.4838,0.4512918086741906
3,2.167185692575243,0.46693333329942494,1.3852310307502747,0.6796,0.6657319916747791
4,1.3132856772316828,0.6597999999728733,0.9912475846290588,0.7424,0.7362372447669171
5,0.927840715514289,0.7586888888888889,0.8433302809715271,0.7772,0.7724275832056297
6,0.6697295165803697,0.8320888888210721,0.76917309217453,0.7956,0.7913590081789026
7,0.5057307875527276,0.8858222221679688,0.7610521276950836,0.802,0.7981804804447186
8,0.4196739991929796,0.9134666666531033,0.7582393748283386,0.8062,0.8020094438728456
9,0.353934232489268,0.9356444443359374,0.7641696144104004,0.8016,0.7977726969184069
10,0.295049372376336,0.95453333331977,0.7708456481456757,0.8086,0.8041883261403039
11,0.25042225417031183,0.96933333331977,0.7845549966812134,0.8074,0.8038286976624466
12,0.21238052365250057,0.9814222222222222,0.7969947612762451,0.8042,0.7997481661713151
13,0.1895223369889789,0.9892888888888889,0.8024032930374145,0.8076,0.8041893203024645
14,0.1767288865884145,0.9921333332655166,0.8178780128479004,0.802,0.7974128917227401
15,0.1691811893304189,0.9935555554741754,0.8277361746788024,0.802,0.799332562829276
16,0.1574469034936693,0.9960666666666667,0.8399989334106446,0.8012,0.7973973352987492
17,0.1476779203944736,0.9978222222222223,0.8405262006759644,0.803,0.7992438759000022
18,0.14153361571894751,0.9986888888888888,0.8528305192947387,0.8004,0.7968220410651692
19,0.13690005385080972,0.9989555555419922,0.8562948269844055,0.802,0.7981182650048492
20,0.13316832308239407,0.9993555555555556,0.8654344316482544,0.8018,0.7967156600034655
