epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,5.042560912238227,0.013866666665818957,4.494604700469971,0.0314,0.02103681684287636
2,4.444824554612901,0.05191111111111111,3.777812478637695,0.2032,0.16952969245300242
3,3.5594321206410724,0.18282222219509547,2.6672244567871095,0.4524,0.4211902290584316
4,2.4220703785366484,0.4103555555352105,1.6754049976348877,0.6312,0.612206170215321
5,1.630967620256212,0.5816444444173178,1.1843365169525146,0.716,0.7078960117947759
6,1.2059783614688449,0.6878666666124131,1.002202204990387,0.7488,0.7425612939418482
7,1.008153211180369,0.7405777777642144,0.9375419312477112,0.7622,0.7568737778140157
8,0.9000744315465291,0.7688666666531033,0.8892116049766541,0.769,0.7625749479852008
9,0.8098802130275302,0.7943999999728732,0.8542859342575073,0.7742,0.7707280323256172
10,0.7290751471307543,0.8173777776963976,0.829369157409668,0.7796,0.7736797376802339
11,0.6556952796088324,0.84006666663954,0.8126894453048706,0.7814,0.7762813386368037
12,0.5900325371954176,0.8622444443766276,0.7948960289955139,0.7866,0.7831241264926065
13,0.5317876302931044,0.8802666666666666,0.7882458065032959,0.7906,0.7862613946930158
14,0.48085605771806506,0.894377777709961,0.7815680089950562,0.793,0.7882222669099285
15,0.43624538148244224,0.9100888888075087,0.7772445683479309,0.7946,0.7908934006657846
16,0.39617905394236247,0.924444444390191,0.7728933232307434,0.7984,0.7948643283350069
17,0.36106630052990385,0.9357111111111112,0.7768582488059997,0.7954,0.7924412520559899
18,0.3247012107398775,0.9472444444173177,0.7790790213584899,0.798,0.7948483727158245
19,0.30021658919652305,0.9547999999728732,0.7819764898300171,0.7974,0.7934249726830006
20,0.27679665473302206,0.9624222222086589,0.7853499985694885,0.7952,0.7916367556406871
21,0.25076995400852625,0.9717111110161675,0.7937731090545654,0.7974,0.7934397368435826
22,0.23335213265419005,0.9770888888075088,0.8010732099533081,0.7956,0.7922333312239528
23,0.2167452866077423,0.9826888888753256,0.8028198196411133,0.7942,0.7899526969713024
24,0.20322569445504082,0.9863999999186198,0.8083166316986083,0.7964,0.7932226872176124
25,0.19662725616561041,0.9880222221544055,0.8144502184867859,0.793,0.7895209269951557
26,0.18662401662402683,0.99033333331977,0.8175070057868957,0.7932,0.7887035544492254
