epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,5.213394023556179,0.00871111111111111,4.900521580505371,0.0088,0.002672705007736134
2,5.207744538964166,0.008977777777777777,4.899247830200196,0.0084,0.002539181885678476
3,5.214842631954617,0.009466666666666667,4.895388407897949,0.0092,0.003012581770238462
4,5.207111145019531,0.008955555555555555,4.898540054321289,0.01,0.0034118458600986418
5,5.207533171674941,0.009044444444444445,4.903961085510254,0.009,0.0026415777738386477
6,5.206209336090088,0.008533333333333334,4.897611685180664,0.0088,0.002869595398957856
7,5.198393591223823,0.009222222222222222,4.8966698051452635,0.0094,0.0030995943725249074
8,5.200428594546848,0.009422222222222222,4.901582497406006,0.0092,0.0029860363730185168
9,5.206025563134087,0.009022222222222221,4.895211722564698,0.0072,0.0021015659466381005
10,5.1983578194512265,0.008288888888888889,4.898682950592041,0.0078,0.0025972081298518425
11,5.198921390702989,0.009266666666666666,4.896238481903076,0.0092,0.003048260808476634
12,5.203109067281087,0.008733333333333333,4.895016271209717,0.0088,0.0030160347292102737
13,5.206780653381347,0.008911111111111111,4.896705493164062,0.0092,0.002828950034083142
14,5.2052970004611545,0.008511111111111112,4.895840500640869,0.0098,0.003076267159049685
