label,epoch,train_loss,train_acc
aug_none,1,2.7590124987284343,0.30388888886854387
aug_none,2,1.8242008064058093,0.49022222221544054
aug_none,3,1.5045267511579725,0.5661555555419922
aug_none,4,1.2882614485846626,0.6218222221815322
aug_none,5,1.1058134347067938,0.6698444444308811
aug_none,6,0.9656496743943956,0.7043999999389648
aug_none,7,0.8223565918710497,0.7470444444444444
aug_none,8,0.7016919489966499,0.7811111110568577
aug_none,9,0.5910507273779975,0.8139111110161674
aug_none,10,0.49339962458610537,0.8426888888210721
aug_none,11,0.4082881563928392,0.8691555554741754
aug_none,12,0.33970843869315254,0.8892666666531033
aug_none,13,0.2761371154361301,0.9088666666259766
aug_none,14,0.21978003993564182,0.9283777777370877
aug_none,15,0.1775197505686018,0.9405333332519532
aug_flip,1,2.752763483089871,0.3035111111111111
aug_flip,2,1.83026811665429,0.48935555552842885
aug_flip,3,1.5196360657162136,0.5652444443969726
aug_flip,4,1.3073838644239637,0.6167777777370878
aug_flip,5,1.1287722868495518,0.663511111050076
aug_flip,6,0.9690902701483832,0.7032888888075087
aug_flip,7,0.8404114211506314,0.7415111110161675
aug_flip,8,0.7096129415512085,0.7790444443630643
aug_flip,9,0.6050682269785139,0.8079333333062066
aug_flip,10,0.5013041050804986,0.840044444390191
aug_flip,11,0.4155805401060316,0.8664888888888889
aug_flip,12,0.3408791815757751,0.88873333331977
aug_flip,13,0.28004086560143365,0.9086666666666666
aug_flip,14,0.2193723704430792,0.9276222221950955
aug_flip,15,0.17921493955718146,0.9406444443495008
aug_flip,16,0.14503540376027424,0.9519999999321832
aug_crop,1,2.7442322264353436,0.3053111111111111
aug_crop,2,1.8385072319666544,0.4827111110907661
aug_crop,3,1.518402410697937,0.5629111110975478
aug_crop,4,1.2915530968136257,0.621155555569119
aug_crop,5,1.1248434337192112,0.6663111110839844
aug_crop,6,0.9653292177094354,0.7073999999050564
aug_crop,7,0.8320110131475661,0.7436222221544054
aug_crop,8,0.7068643794695536,0.778644444390191
aug_crop,9,0.5996307907210456,0.8079999999050563
aug_crop,10,0.49832304059664406,0.8392444444308811
aug_crop,11,0.41521327589882745,0.8641777777642144
aug_crop,12,0.336936070977317,0.890777777709961
aug_crop,13,0.27523961624569365,0.9099999999050563
aug_crop,14,0.21888024367756315,0.928711111070421
aug_crop,15,0.18138535176648035,0.941066666571723
aug_flip_crop,1,2.7245511181725397,0.31164444440375433
aug_flip_crop,2,1.8037508971532186,0.4939333333129883
aug_flip_crop,3,1.497737161954244,0.5691333333129883
aug_flip_crop,4,1.2834305146959093,0.6236222222018772
aug_flip_crop,5,1.0982621750301784,0.6741111111246745
aug_flip_crop,6,0.9476273028267754,0.7133333333129883
aug_flip_crop,7,0.8104754135025872,0.7471555555419922
aug_flip_crop,8,0.6940030482292175,0.7832666666666667
aug_flip_crop,9,0.590792302163442,0.8120888888617622
aug_flip_crop,10,0.4849608642101288,0.8450888888210721
aug_flip_crop,11,0.4036357628504435,0.8695333333333334
aug_flip_crop,12,0.33274209629694623,0.8932444443766276
aug_flip_crop,13,0.2621941053973304,0.9136222221137152
aug_flip_crop,14,0.20755602244271174,0.9314222221950955
aug_flip_crop,15,0.17304769445260365,0.9434444444173178
aug_flip_crop,16,0.1369739896244473,0.9546222222222223
aug_flip_crop_jitter,1,2.7826115973154706,0.29866666663275826
aug_flip_crop_jitter,2,1.8459084546407063,0.48366666661241314
aug_flip_crop_jitter,3,1.517607492849562,0.5629777777167426
aug_flip_crop_jitter,4,1.2991812576929729,0.621244444390191
aug_flip_crop_jitter,5,1.1206035562303331,0.6654666666395399
aug_flip_crop_jitter,6,0.9700466528150771,0.7060444444037544
aug_flip_crop_jitter,7,0.8328016468789843,0.7434444444580078
aug_flip_crop_jitter,8,0.712132411204444,0.7785555555555556
aug_flip_crop_jitter,9,0.6022107089996338,0.8113111110975477
