label,epoch,train_loss,train_acc
sched_cosine,1,2.7064113032870822,0.3132222222018772
sched_cosine,2,1.8129989386876424,0.492866666659885
sched_cosine,3,1.4998628095626831,0.5696444444105361
sched_cosine,4,1.2835558584637112,0.6253555555691189
sched_cosine,5,1.1034974377950033,0.6680666666124132
sched_cosine,6,0.9466801099777221,0.7125999999728733
sched_cosine,7,0.8168784862942166,0.749777777709961
sched_cosine,8,0.6907154522365994,0.7813777777370877
sched_cosine,9,0.5880651034037272,0.8136888888075088
sched_cosine,10,0.4794836211098565,0.8476444443359374
sched_cosine,11,0.40319354827139114,0.8696666666124132
sched_cosine,12,0.3260827440155877,0.8936222222222222
sched_cosine,13,0.25857720470958284,0.9146888888617621
sched_cosine,14,0.21627746322419908,0.9293333333333333
sched_cosine,15,0.17758302971257103,0.9412222221272786
sched_cosine,16,0.13734820683532292,0.9545333332383897
sched_cosine,17,0.11072355423768361,0.9637999999050564
sched_cosine,18,0.0909688148657481,0.9712666665988499
sched_step,1,2.722658992131551,0.3143777777370877
sched_step,2,1.8059981927447848,0.4963555555419922
sched_step,3,1.5039859872606065,0.5684444444173178
sched_step,4,1.285083264986674,0.6233555555148655
sched_step,5,1.1087005631340874,0.6693111110500759
sched_step,6,0.9545112401326498,0.7111555554741753
sched_step,7,0.8135018168449402,0.7494444444037544
sched_step,8,0.6923627346568637,0.7842222221950955
sched_step,9,0.5907505086316003,0.8133111110432943
sched_step,10,0.4969399642944336,0.8411111110432944
sched_step,11,0.4095172033945719,0.8674222221137152
sched_step,12,0.33829589765336776,0.8900666666124133
sched_step,13,0.27740145450698006,0.9095777776963977
sched_step,14,0.2328631519264645,0.9231777776692708
sched_step,15,0.190601756117079,0.938866666571723
sched_step,16,0.1557301385747062,0.9482222221815322
sched_step,17,0.13803297390407987,0.9554444444308811
sched_plateau,1,2.734910644234551,0.3086222221883138
sched_plateau,2,1.8386019439697265,0.4869555555080837
sched_plateau,3,1.5189880982293023,0.5631999999593099
sched_plateau,4,1.2986084235297308,0.6194666666666667
sched_plateau,5,1.1277447178310818,0.6631111110500759
sched_plateau,6,0.9698880390485127,0.7073555555419923
sched_plateau,7,0.8380544054879082,0.7410666666395399
sched_plateau,8,0.7167431988080343,0.7771777776692708
sched_plateau,9,0.6102878924581739,0.8067555554470486
sched_plateau,10,0.5105104855537415,0.8365333332926432
sched_plateau,11,0.4318364658302731,0.8619999999186199
sched_plateau,12,0.35181303015814885,0.8861555555148655
sched_plateau,13,0.2910984403292338,0.9042888887939452
sched_plateau,14,0.2391467970450719,0.9214222221272785
sched_plateau,15,0.19353557923105028,0.9365555555419922
sched_plateau,16,0.16777184375656976,0.9452888888075087
