label,epoch,train_loss,train_acc
bs_128,1,2.7084312604904173,0.3114444444240994
bs_128,2,1.8069055173026192,0.4925777777235243
bs_128,3,1.5000112002478705,0.5692444444308811
bs_128,4,1.2751303976270887,0.6240888888685439
bs_128,5,1.1039323981814915,0.6702222221544054
bs_128,6,0.9543206785837809,0.7099111110161676
bs_128,7,0.8108606460147434,0.7494
bs_128,8,0.6956655837059021,0.7829999999864367
bs_128,9,0.5819523991054959,0.8153333332655166
bs_128,10,0.48243336870405407,0.8451999999186198
bs_128,11,0.4013421891795264,0.8701555554470486
bs_128,12,0.32734755874209936,0.8925999999728733
bs_128,13,0.26373970193862917,0.9143555554606119
bs_128,14,0.21628729327519736,0.928111111070421
bs_128,15,0.17073585724830628,0.9439555555555555
bs_64,1,2.499002135043674,0.3509111111111111
bs_64,2,1.6501734989378187,0.5322222222222223
bs_64,3,1.3116995105107625,0.6165333333333334
bs_64,4,1.061530232196384,0.6789111111111111
bs_64,5,0.8554006764411927,0.7379111111111111
bs_64,6,0.6778049506558312,0.7887555555555555
bs_64,7,0.5327078409936693,0.8315333333333333
bs_64,8,0.4089013434304131,0.8681111111111111
bs_64,9,0.3219827116860284,0.8947555555555555
bs_64,10,0.2503057686169942,0.9186
bs_64,11,0.18887539275089898,0.9371333333333334
bs_64,12,0.15113547013981474,0.9511333333333334
bs_64,13,0.11347581001238691,0.9624222222222222
bs_64,14,0.08753593129143118,0.9711777777777778
bs_64,15,0.06487643987735113,0.9788888888888889
bs_64,16,0.36910824628671013,0.9032666666666667
bs_32,1,2.4086432434929743,0.37135555555555555
bs_32,2,1.5749479592535232,0.5561777777777778
bs_32,3,1.2094725277582805,0.6457111111111111
bs_32,4,0.9311052403132121,0.7179111111111112
bs_32,5,0.708717742951711,0.7815333333333333
bs_32,6,0.5308646344555749,0.8336
bs_32,7,0.3942380999883016,0.8733777777777778
bs_32,8,0.3079145727733771,0.9005555555555556
bs_32,9,0.23413733667267694,0.9245333333333333
bs_32,10,0.18491140288048322,0.9396444444444444
bs_32,11,0.14103254394448467,0.9545555555555556
bs_32,12,0.1150159275394347,0.9631555555555555
bs_32,13,0.0950004878907568,0.9706444444444444
bs_32,14,0.06904924868825409,0.9787111111111111
bs_32,15,0.051973148598025244,0.9834444444444445
bs_32,16,0.041288118459563705,0.9868888888888889
