label,epoch,train_loss,train_acc
lr_01,1,4.975075758056641,0.04254
lr_01,2,3.8491541485595704,0.10312
lr_01,3,3.584608701095581,0.14538
lr_01,4,3.344061169281006,0.1848
lr_01,5,3.107728468475342,0.22728
lr_01,6,2.9235229667663574,0.25886
lr_01,7,2.78102153968811,0.28798
lr_01,8,2.657962813873291,0.3144
lr_01,9,2.5483321255493165,0.33728
lr_01,10,2.393244903869629,0.36688
lr_01,11,2.3119381565093993,0.38602
lr_01,12,2.2052654765319826,0.40884
lr_01,13,2.073740848731995,0.43788
lr_01,14,1.9754247883605958,0.46074
lr_01,15,1.8600535970687866,0.48664
lr_01,16,1.744659882965088,0.5144
lr_01,17,1.6415223998641968,0.53726
lr_01,18,1.520799296913147,0.56718
lr_01,19,1.3927798171234131,0.5982
lr_01,20,1.2540630205535888,0.63626
lr_01,21,1.1033868738937378,0.67614
lr_01,22,0.9515115683746338,0.71924
lr_01,23,0.782950733795166,0.76904
lr_01,24,0.6145590576934814,0.82132
lr_01,25,0.47302582447052,0.87
lr_01,26,0.352311840801239,0.91246
lr_01,27,0.2691855675792694,0.94304
lr_01,28,0.21969482664108275,0.96104
lr_01,29,0.19025885979175566,0.96974
lr_01,30,0.17534923782348633,0.9758
lr_005,1,4.870921750793457,0.03846
lr_005,2,4.0065729112243655,0.08446
lr_005,3,3.681689976043701,0.12918
lr_005,4,3.444321390914917,0.16806
lr_005,5,3.2336518379974364,0.20606
lr_005,6,3.0463779985046386,0.23794
lr_005,7,2.8741680406188963,0.2705
lr_005,8,2.729481961593628,0.29896
lr_005,9,2.6001036753082274,0.32768
lr_005,10,2.538841387863159,0.3374
lr_005,11,2.393701090545654,0.36764
lr_005,12,2.27184461517334,0.39386
lr_005,13,2.1547861972808837,0.41892
lr_005,14,2.045863881530762,0.44466
lr_005,15,1.947781298828125,0.46698
lr_005,16,1.8462188423919679,0.49014
lr_005,17,1.7227900469970703,0.5191
lr_005,18,1.608885436668396,0.5445
lr_005,19,1.4701517053985595,0.57942
lr_005,20,1.3211896491241455,0.61824
lr_005,21,1.163308337249756,0.6615
lr_005,22,0.9921870770645141,0.71152
lr_005,23,0.8124590857315064,0.7662
lr_005,24,0.6580247929000854,0.81646
lr_005,25,0.5256038146209717,0.86248
lr_005,26,0.4192723937034607,0.90034
lr_005,27,0.3468941369628906,0.92562
lr_005,28,0.2972889640712738,0.94394
lr_005,29,0.27384296798706054,0.95122
lr_005,30,0.26082913599967955,0.9559
lr_001,1,2.5085773274230956,0.36582
lr_001,2,1.6048580935668946,0.55068
lr_001,3,1.2428296282958984,0.63774
lr_001,4,0.9834372563362122,0.70652
lr_001,5,0.7910882975769042,0.75972
lr_001,6,0.6025410334777832,0.8114
lr_001,7,0.45336200706481933,0.85394
lr_001,8,0.3047545785140991,0.90166
lr_001,9,0.19772612792015076,0.9369
lr_001,10,0.12184616549491882,0.96354
lr_001,11,0.06660626922607422,0.9829
lr_001,12,0.03296268222570419,0.99356
lr_001,13,0.015971505267620086,0.99778
lr_001,14,0.009084087541103363,0.99896
lr_001,15,0.006858551934659481,0.99918
lr_001,16,0.00517384877383709,0.99952
lr_001,17,0.004527485553920269,0.99942
lr_001,18,0.0036943089132010936,0.99954
lr_001,19,0.003595717639774084,0.99958
lr_001,20,0.0030268932244181634,0.99968
lr_001,21,0.0028732898730039597,0.99966
lr_001,22,0.0027184714102745054,0.99972
lr_001,23,0.002569237846955657,0.99978
lr_001,24,0.002507494137585163,0.99968
lr_001,25,0.0023303778924793003,0.9998
lr_001,26,0.0024006472450494765,0.99968
lr_001,27,0.0022502545638382436,0.99986
lr_001,28,0.0023975951038300992,0.99976
lr_001,29,0.0023060708755627273,0.99974
lr_001,30,0.0022447735314816237,0.99984
