epoch,train_loss,train_acc
1,6.471482215627034,0.022822222221374512
2,4.210182696448432,0.042288888884650336
3,4.051440006425645,0.06086666666412354
4,3.9723284489101833,0.07842222222137452
5,3.88408876024882,0.08808888888041178
6,3.845841953701443,0.09671111110263401
7,3.843570281346639,0.09579999999321832
8,3.8583239585028752,0.09391111110602485
9,3.812048217095269,0.09831111110687256
10,3.788124823421902,0.1016666666615804
11,3.7720710678100584,0.10577777777523464
12,3.7703286146375867,0.10926666665818957
