label,top1,top5,precision,recall,f1,duration
lr_05_epoch_14,1.0,5.0,0.0001,0.01,0.000198019801980198,2582.02
lr_01_epoch_21,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
lr_001_epoch_11,6.2,22.41,0.025489406491212098,0.062,0.024411803993478667,2588.03
lr_001_epoch_4,2.82,10.57,0.006436207870334902,0.0282,0.00433594807807057,2588.03
lr_01_epoch_29,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
lr_05_epoch_26,1.0,5.0,0.0001,0.01,0.000198019801980198,2582.02
lr_05_epoch_28,1.0,5.0,0.0001,0.01,0.000198019801980198,2582.02
lr_05_epoch_4,1.0,5.0,0.0001,0.01,0.000198019801980198,2582.02
lr_05_epoch_22,1.0,5.0,0.0001,0.01,0.000198019801980198,2582.02
lr_001_epoch_24,20.69,49.4,0.20056494568797145,0.2069,0.16446143689539375,2588.03
lr_01_epoch_25,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
lr_01_epoch_15,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
lr_01_epoch_19,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
lr_01_epoch_4,1.0,5.0,0.0001,0.01,0.000198019801980198,2584.38
