epoch,train_loss,train_acc,val_loss,val_acc,f1_score
1,4.620133451504177,0.02168888888888889,4.429988403320312,0.0558,0.04847675268644936
2,4.098473861143324,0.15135555555555555,3.540156912612915,0.3474,0.3210146783991588
3,2.947145349036323,0.4318444444444444,2.2311838050842283,0.5998,0.5810793339370535
4,2.0913415266248916,0.6103333333333333,1.7387921354293823,0.7052,0.6949706098884668
5,1.7493506912231445,0.6973555555555555,1.5521930267333985,0.7536,0.7463145420193698
6,1.568535265774197,0.7537555555555555,1.4638837633132935,0.7806,0.7730671309574436
7,1.467928324254354,0.7870444444444444,1.4289232000350953,0.7902,0.7849914997696412
8,1.4205100405375162,0.8016444444444445,1.3841351843833922,0.8042,0.7983399440754817
9,1.3484095640818279,0.8270222222222222,1.3593186987876893,0.8078,0.8028990773878221
10,1.2923107229444715,0.8474222222222222,1.3337207322120666,0.817,0.8125193431478555
11,1.2510319309870401,0.8627333333333334,1.326415044116974,0.821,0.8177031119399838
12,1.2338108507792156,0.8685111111111111,1.3126432821273804,0.8248,0.8211356213508308
13,1.1978264658610025,0.8822444444444445,1.3093172286987305,0.827,0.8227497190863451
14,1.171705730819702,0.8917333333333334,1.3022987199783325,0.8298,0.8257152949589495
15,1.146738142437405,0.9030666666666667,1.2944463116645812,0.8292,0.8255203530694234
16,1.1333483773125543,0.9058,1.2908482566833497,0.832,0.828964951006126
17,1.1153294874827067,0.9140666666666667,1.2836734477043152,0.834,0.8302149325233179
18,1.1015725487391155,0.9188888888888889,1.2860712238311767,0.8336,0.8306431805917895
19,1.0886531530804104,0.9254,1.2822485646247863,0.8354,0.8308475263619496
20,1.0782634262296888,0.9280666666666667,1.2786779468536378,0.837,0.8325840388358372
21,1.0689964043511284,0.9312222222222222,1.2794539279937744,0.8394,0.8349363694009106
22,1.065419501707289,0.9343111111111111,1.28155217294693,0.8374,0.8336892234244958
23,1.0578587933858237,0.9358,1.2747223587989807,0.8382,0.8342715977484181
24,1.0510129298739963,0.9386444444444444,1.2786918996810912,0.8374,0.8333146075463955
25,1.052230477862888,0.9379333333333333,1.2829659761428833,0.8368,0.832795723806716
26,1.049809285566542,0.9393555555555556,1.2819887954711915,0.8348,0.8306473830837582
27,1.0415388820224338,0.9421111111111111,1.2745380860328674,0.8414,0.8383634452329257
28,1.0433152191374038,0.9415555555555556,1.2800536227226258,0.8408,0.8370563082852129
29,1.041530391438802,0.9424666666666667,1.2781871222496033,0.8392,0.8358334357410954
30,1.0442646428849962,0.9409111111111111,1.2781968884468078,0.8382,0.8347627768209414
