epoch,train_loss,train_acc,val_loss,val_acc
1,4.609092988671197,0.009222222222222222,4.605082405090332,0.011
2,4.607574249564276,0.009533333333333333,4.612319171524048,0.0108
3,4.607694558080038,0.009666666666666667,4.605180488967895,0.0098
4,4.60755028974745,0.010311111111111111,4.605159532546997,0.0094
5,4.608307493654887,0.010044444444444444,4.6051882595062255,0.0116
6,4.609292319615682,0.010333333333333333,4.609744063186645,0.011
7,4.609267602199978,0.010155555555555555,4.610299165725708,0.0092
8,4.608186309030321,0.010622222222222222,4.605212996673584,0.0096
9,4.607284390301174,0.010933333333333333,4.605110376739502,0.0118
10,4.607413613001506,0.00871111111111111,4.605225632858277,0.01
11,4.605487315538195,0.009822222222222222,4.605191296386718,0.0096
12,4.605384110853407,0.009911111111111112,4.605246474456787,0.011
13,4.605499160597059,0.009355555555555556,4.605188794326782,0.0096
14,4.6054156362321645,0.008955555555555555,4.6051641464233395,0.0096
15,4.605430149629381,0.0098,4.605167615509033,0.0108
16,4.605462445068359,0.0098,4.6056671062469485,0.0084
17,4.6054154059516055,0.009977777777777778,4.6051616256713865,0.0114
18,4.605446274015638,0.009711111111111111,4.60518281288147,0.0096
19,4.605578488074409,0.009955555555555556,4.605177475738525,0.0092
20,4.60548304049174,0.009933333333333334,4.605148253250122,0.009
21,4.605209513558282,0.009422222222222222,4.605174597549438,0.0096
22,4.605198055479262,0.009844444444444444,4.605177764892578,0.0104
23,4.605198303858439,0.009822222222222222,4.605291164779663,0.0084
24,4.605227774641249,0.010266666666666667,4.605213441085816,0.0098
25,4.605201034079657,0.009466666666666667,4.605178891372681,0.01
26,4.605192486699422,0.009622222222222223,4.605398641586303,0.0086
27,4.605218845452202,0.009622222222222223,4.605176751708984,0.009
28,4.605209174686008,0.009466666666666667,4.605179312133789,0.011
29,4.605201901796129,0.0096,4.605173677825928,0.0094
30,4.605228090286255,0.009977777777777778,4.605235279464722,0.0084
