epoch,train_loss,train_acc,val_loss,val_acc
1,4.600142567104763,0.01471111111111111,4.5596433992385865,0.0222
2,4.584015135171678,0.01868888888888889,4.52251681022644,0.0216
3,4.576626511319478,0.020466666666666668,4.50692985458374,0.0294
4,4.572304865921868,0.021044444444444445,4.52196351928711,0.0288
5,4.573884380510118,0.021644444444444445,4.513883522605896,0.0286
6,4.567776072862413,0.02371111111111111,4.471885872077942,0.0316
7,4.567978497759501,0.023044444444444444,4.5201248294830325,0.0224
8,4.568659796799554,0.024133333333333333,4.593813294219971,0.0156
9,4.564139426824782,0.026533333333333332,4.511814475822448,0.0314
10,4.566041343137953,0.024288888888888888,4.503303259277343,0.0306
11,4.540723208236694,0.033666666666666664,4.410380167770386,0.067
12,4.503532376967536,0.04257777777777778,4.2871135248184205,0.0864
13,4.464839475038317,0.05237777777777778,4.200548592758179,0.0968
14,4.433914477666219,0.060222222222222226,4.13531822605133,0.121
15,4.416082059987386,0.0658,4.141251586532593,0.1184
16,4.400589371003045,0.07131111111111112,4.071457302665711,0.1372
17,4.376046823671129,0.07744444444444444,4.015602240562439,0.152
18,4.361000831540426,0.08224444444444444,3.954587199783325,0.17
19,4.3497600990719265,0.08482222222222222,3.9677360424041748,0.1572
20,4.345372363853454,0.08837777777777778,3.9431766719818113,0.1786
21,4.318444333585103,0.09791111111111112,3.8709526658058167,0.1988
22,4.298161161147224,0.1026,3.8388510977745054,0.194
23,4.305282707744174,0.10313333333333333,3.8436951693534853,0.2056
24,4.294449948883057,0.10511111111111111,3.862681457901001,0.2006
25,4.294559153726365,0.10586666666666666,3.848669434261322,0.2142
26,4.28458280122545,0.10948888888888889,3.792152981376648,0.2034
27,4.287569188478258,0.10586666666666666,3.810285982322693,0.2124
28,4.27912056980133,0.11206666666666666,3.786735699272156,0.214
29,4.275552729818556,0.11097777777777777,3.8090343269348144,0.2162
30,4.275152596728007,0.11088888888888888,3.765850583553314,0.216
